lower,upper,layer_jump
217,704,3
218,551,2
218,2692,25
219,378,1
219,555,2
220,384,1
220,554,2
220,556,2
220,560,2
220,1006,5
221,552,2
221,711,3
222,386,1
222,549,2
223,386,1
223,549,2
224,557,2
224,713,3
225,389,1
225,549,2
226,869,4
226,1006,5
227,385,1
227,392,1
227,549,2
227,564,2
228,390,1
229,565,2
229,567,2
229,871,4
230,569,2
231,399,1
231,549,2
232,395,1
232,567,2
232,871,4
233,396,1
233,576,2
234,398,1
234,723,3
235,396,1
236,366,1
237,401,1
237,549,2
238,398,1
238,401,1
238,549,2
239,388,1
239,570,2
240,574,2
241,402,1
241,575,2
241,878,4
242,404,1
242,409,1
242,579,2
242,730,3
244,396,1
246,408,1
246,573,2
246,728,3
247,402,1
247,574,2
249,578,2
249,731,3
250,406,1
251,409,1
251,730,3
251,738,3
251,881,4
252,413,1
252,734,3
253,416,1
253,583,2
253,735,3
254,411,1
254,417,1
254,880,4
255,590,2
255,739,3
256,406,1
256,576,2
257,582,2
257,740,3
258,588,2
258,880,4
258,1022,5
259,418,1
259,419,1
259,743,3
260,406,1
260,426,1
260,576,2
260,582,2
260,593,2
261,594,2
261,741,3
262,1145,6
262,1250,7
263,420,1
263,431,1
263,585,2
263,590,2
263,592,2
264,421,1
264,582,2
264,593,2
265,423,1
266,596,2
266,1148,6
267,427,1
267,432,1
267,439,1
267,753,3
267,754,3
268,594,2
268,601,2
268,889,4
269,433,1
269,436,1
269,595,2
269,604,2
269,607,2
269,744,3
269,887,4
270,435,1
270,749,3
270,892,4
271,430,1
272,434,1
272,600,2
272,744,3
273,431,1
274,430,1
275,431,1
275,438,1
275,605,2
275,733,3
276,430,1
276,609,2
277,438,1
277,593,2
278,443,1
278,444,1
278,593,2
279,445,1
279,757,3
279,1034,5
280,441,1
280,446,1
280,760,3
280,761,3
280,899,4
281,613,2
281,893,4
282,442,1
283,445,1
283,894,4
283,1261,7
284,442,1
285,444,1
285,612,2
286,618,2
286,905,4
286,909,4
286,911,4
286,1263,7
287,616,2
287,764,3
287,910,4
288,453,1
288,456,1
288,766,3
288,770,3
288,1162,6
288,1264,7
288,1268,7
289,453,1
289,1041,5
290,457,1
290,768,3
290,917,4
290,918,4
290,1169,6
291,458,1
291,620,2
292,454,1
292,625,2
293,455,1
293,459,1
293,619,2
293,626,2
294,460,1
294,782,3
294,783,3
294,919,4
294,924,4
294,925,4
294,1174,6
295,461,1
295,465,1
295,776,3
296,455,1
296,780,3
296,1476,9
297,787,3
297,1178,6
298,466,1
298,921,4
299,462,1
299,466,1
299,778,3
299,927,4
300,468,1
301,633,2
301,929,4
301,934,4
302,470,1
303,471,1
303,796,3
304,470,1
304,475,1
304,638,2
304,931,4
304,936,4
304,1180,6
305,473,1
305,1185,6
305,1656,11
306,639,2
306,937,4
307,1068,5
308,799,3
308,1069,5
309,940,4
309,1574,10
309,2051,16
310,1071,5
310,1390,8
311,644,2
311,803,3
312,477,1
312,804,3
312,1191,6
313,479,1
313,645,2
314,1293,7
314,2429,21
315,943,4
315,3026,30
316,480,1
316,804,3
317,942,4
318,649,2
318,1579,10
319,484,1
319,487,1
319,807,3
319,944,4
319,945,4
319,947,4
319,1080,5
319,1195,6
319,1903,14
319,2138,17
319,2434,21
320,1078,5
320,1194,6
320,1396,8
321,1491,9
321,1659,11
322,1397,8
322,2139,17
323,486,1
323,2062,16
323,3135,32
324,654,2
324,1196,6
325,655,2
325,1083,5
326,488,1
326,656,2
326,1084,5
326,1198,6
326,1661,11
327,488,1
327,951,4
327,1494,9
327,1586,10
328,951,4
328,1495,9
329,654,2
329,658,2
329,953,4
330,657,2
331,491,1
331,656,2
332,488,1
332,1820,13
333,1401,8
333,3092,31
334,1204,6
334,1498,9
335,1088,5
336,492,1
336,662,2
336,816,3
337,1663,11
338,492,1
338,493,1
338,662,2
338,665,2
339,664,2
339,3482,38
340,819,3
340,1095,5
341,667,2
341,969,4
342,823,3
342,968,4
342,1758,12
343,503,1
343,971,4
344,671,2
344,827,3
345,2584,23
345,3258,34
346,831,3
346,2586,23
347,976,4
347,3434,37
348,676,2
349,982,4
349,1419,8
350,510,1
350,837,3
351,838,3
351,984,4
351,1320,7
352,512,1
352,1106,5
352,1219,6
353,515,1
353,686,2
353,1109,5
353,1223,6
354,516,1
354,517,1
354,684,2
354,840,3
354,842,3
354,991,4
355,1113,5
355,1225,6
355,1835,13
355,2002,15
356,519,1
356,523,1
356,841,3
356,989,4
356,990,4
356,991,4
356,1114,5
357,521,1
357,843,3
358,522,1
358,691,2
359,528,1
359,691,2
359,692,2
359,693,2
359,843,3
359,846,3
360,691,2
361,525,1
362,694,2
362,845,3
364,533,1
364,693,2
366,530,1
366,531,1
366,535,1
366,537,1
366,545,1
366,549,1
366,559,1
366,696,2
366,699,2
366,703,2
366,717,2
366,720,2
366,868,3
367,532,1
367,693,2
367,700,2
367,848,3
368,538,1
368,856,3
369,544,1
369,701,2
369,1005,4
369,1133,5
370,543,1
370,700,2
371,540,1
371,547,1
371,703,2
371,861,3
371,1008,4
372,542,1
372,704,2
372,863,3
373,548,1
373,551,1
373,552,1
373,708,2
373,711,2
374,543,1
375,546,1
375,553,1
375,704,2
376,710,2
376,1135,5
377,703,2
378,552,1
378,714,2
379,550,1
379,700,2
380,866,3
380,1006,4
381,549,1
382,552,1
383,552,1
383,555,1
383,714,2
384,556,1
384,713,2
385,549,1
385,564,1
386,549,1
387,560,1
387,565,1
387,713,2
388,562,1
388,570,1
388,725,2
389,549,1
390,549,1
391,565,1
391,713,2
392,549,1
393,549,1
394,566,1
394,721,2
394,872,3
395,871,3
396,571,1
396,576,1
396,585,1
396,733,2
396,739,2
397,549,1
398,549,1
398,723,2
399,549,1
399,723,2
400,569,1
401,549,1
402,574,1
402,577,1
402,729,2
402,732,2
402,877,3
402,1018,4
403,572,1
403,575,1
403,875,3
404,570,1
404,730,2
405,578,1
405,875,3
406,576,1
406,582,1
407,583,1
408,580,1
408,728,2
408,735,2
409,730,2
410,582,1
411,880,3
412,880,3
413,582,1
414,1145,5
415,738,2
415,885,3
416,583,1
416,735,2
416,741,2
416,886,3
417,588,1
417,742,2
417,884,3
418,589,1
418,743,2
419,591,1
419,746,2
420,585,1
420,590,1
420,592,1
420,733,2
420,739,2
421,582,1
422,582,1
422,740,2
423,740,2
424,587,1
424,736,2
424,744,2
424,882,3
424,888,3
425,576,1
425,592,1
425,733,2
426,576,1
426,593,1
426,733,2
427,601,1
428,600,1
428,744,2
428,888,3
429,1022,4
429,1353,7
430,598,1
430,603,1
430,606,1
430,746,2
430,752,2
430,756,2
431,592,1
431,605,1
431,733,2
432,593,1
433,599,1
