id,layer,min_m,max_m,cells,area_km2
1000,7,35,40,5,13.844400123520014
2098,19,95,100,5,13.831977335487158
1937,17,85,90,5,13.827831723295523
89,1,5,10,5,13.82486856593484
1227,9,45,50,5,13.823683770897906
359,3,15,20,5,13.82368330300914
1523,12,60,65,5,13.818347046513928
2163,20,100,105,5,13.798746953015327
4907,69,345,350,5,13.78624724378463
2856,30,150,155,5,13.779095952622374
3049,33,165,170,5,13.779095019886485
4571,62,310,315,5,13.736644080451292
2,0,0,5,5,13.731846825677266
3587,43,215,220,5,13.73124650069064
69,0,0,5,4,11.288487869613165
1502,11,55,60,4,11.285640305170615
338,2,10,15,4,11.281080287049004
662,4,20,25,4,11.276516928172093
1299,9,45,50,4,11.25364291426779
3083,33,165,170,4,11.213962049299752
470,3,15,20,4,11.211075455969235
158,1,5,10,4,11.209343025626264
45,0,0,5,4,11.207609883902899
1057,7,35,40,4,11.207609409729859
1279,9,45,50,4,11.206454298016379
2195,20,100,105,4,11.205876268016048
1274,9,45,50,4,11.200093361071161
290,2,10,15,4,11.193725790222839
9700,200,1000,1005,4,11.193725316633131
767,5,25,30,4,11.189090179568186
288,2,10,15,4,11.187930566762828
1797,15,75,80,4,11.186190792623599
287,2,10,15,4,11.185610867885966
1642,13,65,70,4,11.179807125523169
1959,17,85,90,4,11.177484114873213
2268,21,105,110,4,11.1751601584523
3934,49,245,250,4,11.172254385421379
1457,11,55,60,4,11.172254385416617
442,3,15,20,4,11.169928065290296
1791,15,75,80,4,11.15770094804856
433,3,15,20,4,11.155368724215812
1707,14,70,75,4,11.15420249432006
267,2,10,15,4,11.154202022406945
600,4,20,25,4,11.151285621806451
263,2,10,15,4,11.150118448183607
131,1,5,10,4,11.148951038672614
2630,26,130,135,4,11.148951038672614
6046,98,490,495,4,11.14778339333066
420,3,15,20,4,11.147199452744204
1022,7,35,40,4,11.14486274731442
585,4,20,25,4,11.144862747309674
736,5,25,30,4,11.141356982001632
250,2,10,15,4,11.13726397626105
242,2,10,15,4,11.135508383691374
2696,27,135,140,4,11.133753026718335
1703,14,70,75,4,11.130825547642038
874,6,30,35,4,11.12906901304952
1248,9,45,50,4,11.128482716749946
30,0,0,5,4,11.126138944211899
1014,7,35,40,4,11.124380761703257
725,5,25,30,4,11.123794230234012
1140,8,40,45,4,11.120275747322633
1700,14,70,75,4,11.104414942722505
14,0,0,5,4,11.102061529639185
550,4,20,25,4,11.095584301668241
11,0,0,5,4,11.093227836255863
542,4,20,25,4,11.083200188494711
8653,170,850,855,4,11.080838327946859
1337,10,50,55,4,11.075520801686885
849,6,30,35,4,11.069606894295978
1232,9,45,50,4,11.067831340361147
91,1,5,10,4,11.06487145951515
1525,12,60,65,4,11.062502337631015
2329,22,110,115,4,11.061317542653322
1330,10,50,55,4,11.059539648199483
845,6,30,35,4,11.058353917344633
2465,24,120,125,4,11.055982221811917
1520,12,60,65,4,11.05420315775753
1767,15,75,80,4,11.047674155300587
1840,16,80,85,4,11.046486086548688
6,0,0,5,4,11.044703983483203
2607,26,130,135,4,11.041138141852837
2530,25,125,130,4,11.040543406714413
2085,19,95,100,4,11.038759668356892
987,7,35,40,4,11.03756996458949
2387,23,115,120,4,11.036380260812681
2313,22,110,115,4,11.03638026081268
2453,24,120,125,4,11.033404483958487
2668,27,135,140,4,11.029831871304003
2666,27,135,140,4,11.028640533770094
2785,29,145,150,4,11.02685329409354
2593,26,130,135,4,11.025065121376981
2781,29,145,150,4,11.022083745325045
2979,32,160,165,4,11.018504834982322
3155,35,175,180,4,11.016714330852714
3272,37,185,190,4,11.01014518777989
2723,28,140,145,4,11.01014472196905
3326,38,190,195,4,11.010144721954969
351,3,15,20,4,11.007754121573509
4222,55,275,280,4,11.004166823807815
3383,39,195,200,4,10.991593710492436
672,4,20,25,3,8.478731641053013
2377,22,110,115,3,8.47816408773458
1594,12,60,65,3,8.474756137452696
497,3,15,20,3,8.46906984665639
1412,10,50,55,3,8.46679294136507
2655,26,130,135,3,8.46679294136507
965,6,30,35,3,8.46565424988004
1305,9,45,50,3,8.461665606507943
817,5,25,30,3,8.458243803068715
2581,25,125,130,3,8.458243803059101
1823,15,75,80,3,8.456532066236308
177,1,5,10,3,8.445672865155892
490,3,15,20,3,8.444527972817665
6799,119,595,600,3,8.441091866923154
654,4,20,25,3,8.438226421539195
1743,14,70,75,3,8.435358834080262
3253,36,180,185,3,8.43248910537178
2364,22,110,115,3,8.431915112041796
945,6,30,35,3,8.429043005066033
1812,15,75,80,3,8.427318884990573
164,1,5,10,3,8.42501910743138
2287,21,105,110,3,8.422142246844256
2356,22,110,115,3,8.421566827197536
1738,14,70,75,3,8.420991170003951
3025,32,160,165,3,8.420415275310239
1289,9,45,50,3,8.418111696572613
1391,10,50,55,3,8.418111696572613
2427,23,115,120,3,8.417535564425567
1288,9,45,50,3,8.415806693171689
1064,7,35,40,3,8.411769733020137
794,5,25,30,3,8.4106158073391
473,3,15,20,3,8.410038725872392
936,6,30,35,3,8.41003848866982
46,0,0,5,3,8.408306532692205
5726,89,445,450,3,8.408306532682646
1061,7,35,40,3,8.40715165817652
1568,12,60,65,3,8.40657386523326
2197,20,100,105,3,8.405418516457933
2120,19,95,100,3,8.404840486457603
296,2,10,15,3,8.403106396481228
778,5,25,30,3,8.401371595487852
460,3,15,20,3,8.399636083588241
44,0,0,5,3,8.39963608358824
776,5,25,30,3,8.39963608358824
1966,17,85,90,3,8.3990575796041
7544,138,690,695,3,8.398478838711856
1167,8,40,45,3,8.3978998609557
774,5,25,30,3,8.397899860946154
775,5,25,30,3,8.397321120053908
1045,7,35,40,3,8.397321120049135
769,5,25,30,3,8.394425284036139
454,3,15,20,3,8.394425284036137
1720,14,70,75,3,8.394425284031367
768,5,25,30,3,8.393846069456343
150,1,5,10,3,8.391527790643469
1554,12,60,65,3,8.390948102580513
907,6,30,35,3,8.38920809175707
1884,16,80,85,3,8.388628167028976
1883,16,80,85,3,8.387467844318305
615,4,20,25,3,8.386887446399841
451,3,15,20,3,8.385726650553378
2038,18,90,95,3,8.385726650553378
449,3,15,20,3,8.385726414024212
6425,108,540,545,3,8.383984510747222
1260,9,45,50,3,8.38224189803003
1547,12,60,65,3,8.381661027114367
3880,48,240,245,3,8.381079919769999
2758,28,140,145,3,8.378754781271567
