layer,min_m,components,area_km2
302,1510,19,52.65685965766148
303,1515,14,41.565416975341364
304,1520,20,55.44107322326379
305,1525,19,52.81143113846128
306,1530,23,66.46006763899379
307,1535,20,55.33294927976121
308,1540,19,55.42569051155421
309,1545,13,36.05203284351936
310,1550,23,66.39004125686256
311,1555,8,22.173318469121085
312,1560,12,36.04670407143302
313,1565,18,55.478657996396585
314,1570,15,41.55685808246782
315,1575,6,16.64549029389289
316,1580,14,41.61705057990247
317,1585,25,72.0483157354386
318,1590,13,35.984561197452976
319,1595,12,33.267796337346184
320,1600,11,30.51593912094293
321,1605,13,35.97204231754471
322,1610,8,22.157492932890673
323,1615,20,55.42021143546811
324,1620,12,33.19812156131087
325,1625,17,47.11816303341103
326,1630,11,30.4914953211263
327,1635,16,52.673989058552564
328,1640,12,33.31108158512824
329,1645,8,25.049760689378374
330,1650,10,27.669149064942395
331,1655,13,38.633941984071555
332,1660,15,41.5926217207577
333,1665,13,36.03856891816399
334,1670,14,38.84027481989764
335,1675,13,35.85628767037864
336,1680,9,24.969255099957707
337,1685,6,16.589216694563337
338,1690,16,49.93699981059226
339,1695,11,30.534651853195726
340,1700,13,36.07960547125781
341,1705,11,36.08745639332107
342,1710,11,30.51559143120497
343,1715,14,38.72813489117686
344,1720,14,44.26607712641786
345,1725,13,35.88812780127595
346,1730,10,27.733367613432662
347,1735,13,35.98978116557902
348,1740,9,24.916047658176076
349,1745,15,49.83626485511821
350,1750,11,33.23789588420544
351,1755,12,36.068464154428774
352,1760,16,44.35431628078665
353,1765,8,22.1811888038957
354,1770,10,27.718852403383533
355,1775,14,38.671180681605755
356,1780,11,30.403738498685364
357,1785,9,24.86706247347669
358,1790,8,22.200903568299722
359,1795,6,16.602989432695175
360,1800,5,16.638726036549095
361,1805,6,16.67362968638742
362,1810,8,22.26449499757682
363,1815,12,33.3338693476437
364,1820,6,16.588116431829125
365,1825,7,19.390311471257377
366,1830,12,33.22302806780647
367,1835,13,36.0653195729082
368,1840,12,38.74282222905605
369,1845,2,5.58755431173118
370,1850,7,19.360306658134288
371,1855,6,16.680178208802545
372,1860,8,22.276147887576577
373,1865,7,19.487813683319068
374,1870,4,11.036106592812029
375,1875,4,11.093542912402242
376,1880,7,19.30330341057836
377,1885,8,22.097611895876497
378,1890,3,11.109805612625973
379,1895,8,22.20527011967212
380,1900,7,19.382956126652886
381,1905,9,27.828574921528958
382,1910,12,33.28417594709534
383,1915,4,11.029988465483253
384,1920,9,24.986427711035404
385,1925,2,8.346655303410015
386,1930,9,27.750431105299995
387,1935,6,16.617319369440093
388,1940,4,11.027878112054541
389,1945,4,11.18324246836846
390,1950,5,13.924523085272538
391,1955,5,13.907333082781559
392,1960,10,27.793900081350245
393,1965,6,19.564291635126917
394,1970,6,19.484322862957377
395,1975,4,11.097565648454172
396,1980,3,8.365058443707978
397,1985,5,19.35052646452007
398,1990,5,13.871435253736973
399,1995,4,11.12331451129072
400,2000,1,2.788259007104501
401,2005,6,16.763534349561006
402,2010,5,13.956423194707337
403,2015,1,2.778307989976275
404,2020,6,16.664238943645234
405,2025,5,13.918562514098078
406,2030,4,13.811529160510876
407,2035,1,2.785923716524972
408,2040,4,11.122196700490285
409,2045,2,8.32335064024123
410,2050,3,8.368230182192779
